2022-02-13 14:30:02+00:00,b':D thanks for asking\nMy favorites are: \n\nPizza: pineapple\nDoughnut: chocolate\nSteak: medium raw\nIce cream: lavender from local shop\nSandwich: chicken bacon peso and mozzarella \n\n@eumberz @CatboyOken favorite foods go https://t.co/B89EgfT4l8'
2022-02-13 14:29:45+00:00,b'RT @TheOnePsydburnz: We are LIVE with some #LostArkMMO!! Carrot Cake &gt; Pineapple on Pizza but both still suck!! Sticking my feet on pineapp\xe2\x80\xa6'
2022-02-13 14:29:01+00:00,b'@kriistiecorn pineapple has to go sorry pineapple pizza lovers'
2022-02-13 14:28:48+00:00,b'TheOnePsydburnz: We are LIVE with some #LostArkMMO!! Carrot Cake &gt; Pineapple on Pizza but both still suck!! Sticking my feet on pineapple on pizza and may eat it today... https://t.co/cUMepoZJXL\n\n#streaming #streaminglive @CroweFam_ @VD3FAM #StreamersConnected #streamers #strea\xe2\x80\xa6'
2022-02-13 14:28:06+00:00,b'thinking about how much i love pineapple and pepperoni pizza like omg'
2022-02-13 14:25:44+00:00,b'@Boxenberger @HertogVinX Are you a monster @HertogVinX ? Pineapple does. It belong on pizza \xf0\x9f\x8d\x95 https://t.co/oOHhTu0Mir'
2022-02-13 14:24:57+00:00,b'`` Better start going to pizza hut from now on- Gonna stop pineapple from seeing you too. `` https://t.co/IoGCB0M6ak'
2022-02-13 14:23:49+00:00,b'We are LIVE with some #LostArkMMO!! Carrot Cake &gt; Pineapple on Pizza but both still suck!! Sticking my feet on pineapple on pizza and may eat it today... https://t.co/bPgEPEvLys\n\n#streaming #streaminglive @CroweFam_ @VD3FAM #StreamersConnected #streamers #streamer #twitch #ttv'
2022-02-13 14:23:45+00:00,b'Pineapple on pizza is a must! \xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb https://t.co/3IVxR0rgeJ'
2022-02-13 14:23:14+00:00,b'@bee_off_main Whatever the ancient Chinese equivalent of the pineapple on pizza debate is.'
2022-02-13 14:20:08+00:00,b'RT @DojaCat: i like pineapple on pizza cuz i\xe2\x80\x99m crazyyyyyy xD WHAT EVRRRRRRR LOL rar &gt;.&lt;'
2022-02-13 14:19:49+00:00,b'@GilesPalaeoLab Putting pineapple on your pizza brings all the dogs to your yard or somesuch...  %-P'
2022-02-13 14:19:49+00:00,b'@kriistiecorn No pineapple pizza today'
2022-02-13 14:18:45+00:00,b'@MN_CRIME I hope it was an anchovy and pineapple pizza.'
2022-02-13 14:16:42+00:00,b'@Sid_Seixeiro Pizza with pineapple!!!!!'
2022-02-13 14:13:55+00:00,b'@kriistiecorn Pineapple and the pizza with strawberries on it'
2022-02-13 14:13:27+00:00,b'@WashedClarkson L sadly pineapple doesn\xe2\x80\x99t belong on pizza'
2022-02-13 14:13:22+00:00,b'@originaalsky hi my sky my love! tara kain pizza w/ pineapple?'
2022-02-13 14:11:33+00:00,b'@empty_banks @maxkeiser I heard if they put pineapple on pizza in China it\xe2\x80\x99s an immediate 100 lashes and no Nintendo for a week!'
2022-02-13 14:11:29+00:00,b'@kriistiecorn Pineapple on pizza has to go'
2022-02-13 14:08:15+00:00,"b'RT @MediumSizeMeech: Some of y\xe2\x80\x99all have DEFINITELY lost the plot because \xe2\x80\x9clet people enjoy things\xe2\x80\x9d is about like, pineapple on pizza and te\xe2\x80\xa6'"
2022-02-13 14:07:16+00:00,"b'RT @MediumSizeMeech: Some of y\xe2\x80\x99all have DEFINITELY lost the plot because \xe2\x80\x9clet people enjoy things\xe2\x80\x9d is about like, pineapple on pizza and te\xe2\x80\xa6'"
2022-02-13 14:06:39+00:00,b'When someone suggests ordering pineapple pizza https://t.co/wfrDVjF0aL'
2022-02-13 14:03:04+00:00,b'@kriistiecorn pineapple on pizza byeeee'
2022-02-13 14:02:50+00:00,"b'@SweetBabyNicco Gotta add some bacon my dude.. PINEAPPLE BELONGS ON PIZZA, Don\xe2\x80\x99t @ me.'"
2022-02-13 14:02:20+00:00,"b'@valkcy But it gets worse, I also like pineapple on my pizza!!'"
2022-02-13 14:01:39+00:00,"b'@kriistiecorn Pineapple on pizza should go away ^^ , lol Italians will be so mad seeing this'"
2022-02-13 14:00:56+00:00,b'Pineapple upon Pizza.'
2022-02-13 14:00:29+00:00,b'@eToroNL @eToroItalia No pineapple on my pizza is not done!'
2022-02-13 13:59:27+00:00,"b""i can't believe my eyes..\n\ni was in my city in Milano and i saw a couple.. they were eating PINEAPPLE pizza WITH CAPPUCCINO\n\nwtf."""
2022-02-13 13:59:01+00:00,b'@kriistiecorn pineapple on pizza ofc'
2022-02-13 13:58:43+00:00,"b'@Maximthorne Between Lora K and Russ M I\xe2\x80\x99m pretty sure the next expose will be an underground pizza parlour employing slave, under-aged female labour in bikinis, serving pizza WITH PINEAPPLE to only non-white staff. (They\xe2\x80\x99ve both blocked me, so if someone could tag them to get on it, great.)'"
2022-02-13 13:57:54+00:00,b'@kriistiecorn Pineapple pizza\xf0\x9f\x8d\x8dsry if someone loves it\xf0\x9f\x98\x81\xf0\x9f\x92\x9e'
2022-02-13 13:57:13+00:00,b'RT @pshftz: hot people eats pineapple on pizza.'
2022-02-13 13:57:07+00:00,b'RT @RenFoodie: Who loves pineapple on pizza? Grab this burned out Hawaiian pizza with matching Hawaiian shirt only at @ParasHQ @NEARProtoco\xe2\x80\xa6'
2022-02-13 13:56:27+00:00,"b'""what is the perfect pizza topping for u?"" - Pineapple #tellonym  https://t.co/ctVwwcGd9Q'"
2022-02-13 13:55:35+00:00,b'@PezzleStick @PrincesaBallena *eats pineapple on a Chicago style pizza*'
2022-02-13 13:55:06+00:00,b'RT @JoeyB: How do people not like pineapple on their pizza is the real question'
2022-02-13 13:52:59+00:00,b'eremika shipper who likes pineapple on pizza'
2022-02-13 13:52:07+00:00,b'The \xe2\x80\x9cAmerican burger\xe2\x80\x9d with Canadian not crispy bacon = pineapple on pizza https://t.co/A50myvb4cu'
2022-02-13 13:51:59+00:00,b'Eewww pineapple on pizza?! Banana what are you gay?'
2022-02-13 13:51:08+00:00,b'@LastLaughBlog Would absolutely line up for a PINEAPPLE PIZZA sequel.'
2022-02-13 13:50:46+00:00,b'@Jamesbobble @cheeky_disco @NaomitimT @sfinn80 @BreezerGalway @kercle @matildawashere1 @pj_montgomery You are with @cheeky_disco so you love pineapple on pizza as well now James \xf0\x9f\x98\x89\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3..'
2022-02-13 13:50:07+00:00,b'RT @pshftz: hot people eats pineapple on pizza.'
2022-02-13 13:47:02+00:00,b'@AntiTaxUnicorn Pineapple on pizza is amazing!!!!!'
2022-02-13 13:46:09+00:00,b'i cant believe what i just read&gt;&gt; pineapple pizza lover is a katehon lecturer?'
2022-02-13 13:44:50+00:00,b'Who loves pineapple on pizza? Grab this burned out Hawaiian pizza with matching Hawaiian shirt only at @ParasHQ @NEARProtocol \n\nhttps://t.co/ULUSuks38Z\n\n@NearNft @NEARPhilippines @Near_Community @NearVolcano @HypeDAO \n\n#HypeDAO #NFTartist #Nftarts #NFTs #NEARnft #NFTCollection https://t.co/cw9Gq80R3W'
2022-02-13 13:43:17+00:00,b'RT @Philtmnt22: Here is my controversial take of the day.....pineapple on pizza is a crime against all pizza kind'
2022-02-13 13:41:50+00:00,"b'RT @sb9teen: \xe2\x80\x94 a joshtin au wherein justin only wants to order pineapple with pizza but ends up wanting to order the delivery man, josh, in\xe2\x80\xa6'"
2022-02-13 13:41:39+00:00,b'@tinylseo Pizza on pineapple\xf0\x9f\x98\x8d'
2022-02-13 13:38:04+00:00,b'RT @JoeyB: How do people not like pineapple on their pizza is the real question'
